"ORIGIN","DEST",
"ABE","PGD",
"ABE","SFB",
"ABE","PGD",
"ABE","MYR",
"ABE","SFB",
"ABE","SFB",
"ABE","FLL",
"ABE","SFB",
"ABE","SFB",
"ABE","PGD",
"ABE","SFB",
"ABE","PGD",
"ABE","PIE",
"ABE","PIE",
"ABE","SRQ",
"ABE","SAV",
"ABE","PGD",
"ABE","SFB",
"ABE","SAV",
"ABE","SRQ",
"ABE","BNA",
"ABE","PIE",
"ABE","SFB",
"ABE","SFB",
"ABE","PIE",
"ABE","SFB",
"ABE","BNA",
"ABE","SFB",
"ABE","PIE",
"ABE","PIE",
"ABE","PIE",
"ABE","SFB",
"ABE","SFB",
"ABE","SAV",
"ABE","SAV",
"ABE","BNA",
"ABE","SFB",
"ABE","SFB",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","BNA",
"ABE","BNA",
"ABE","SFB",
"ABE","SFB",
"ABE","SFB",
"ABE","SRQ",
"ABE","SFB",
"ABE","FLL",
"ABE","SFB",
"ABE","SRQ",
"ABE","FLL",
"ABE","SFB",
"ABE","SFB",
"ABE","SFB",
"ABE","PGD",
"ABE","SFB",
"ABE","SRQ",
"ABE","SFB",
"ABE","PIE",
"ABE","SFB",
"ABE","PGD",
"ABE","PGD",
"ABE","PIE",
"ABE","PGD",
"ABE","MYR",
"ABE","SFB",
"ABE","PIE",
"ABE","SFB",
"ABE","SFB",
"ABE","PIE",
"ABE","SRQ",
"ABE","PIE",
"ABE","FLL",
"ABE","SFB",
"ABE","PGD",
"ABE","PGD",
"ABE","SAV",
"ABE","MYR",
"ABE","SFB",
"ABE","PIE",
"ABE","FLL",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","ATL",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
